ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
ABalpha =; -178.85; ABbetta =;    0.00; BCalpha =; -178.86; BCbetta =;    0.00; Command =; -1;
